id,timestamp,language,source,message,summary,sentiment,themes
28,2025-03-14T14:30:00Z,es,chat,El soporte técnico no responde a mis correos electrónicos.,Lack of response from technical support via email.,negative,"poor customer service, unresponsive technical support"
29,2025-03-15T09:55:00Z,en,email,I need help with my account settings but can’t find the right section.,Customer is having difficulty finding the account settings section.,Negative,"Account settings accessibility, Support needed"
30,2025-03-16T16:05:00Z,fr,survey,L’application est très utile pour mon travail quotidien.,The application is very useful for my daily work.,positive,useful for work
31,2025-03-17T11:25:00Z,es,email,No puedo actualizar mi información de pago en la cuenta.,Customer is experiencing issues updating payment information on their account.,negative,"payment information update, account management"
32,2025-03-18T13:45:00Z,en,chat,The notifications are too frequent—can I adjust the settings?,Customer is concerned about frequent notifications.,Negative,"Frequent notifications, Settings adjustment"
33,2025-03-19T08:35:00Z,fr,email,J’ai besoin d’aide pour configurer mon compte.,Customer needs help with account setup.,neutral,"account setup, assistance needed"
34,2025-03-20T15:50:00Z,es,survey,La aplicación se cierra inesperadamente al abrirla.,The application unexpectedly closes upon opening.,negative,"application crash, unexpected behavior"
35,2025-03-21T10:40:00Z,en,email,I want to know if there’s a way to recover deleted files.,Customer is looking for a way to recover deleted files.,Neutral,"File recovery, Data loss"
36,2025-03-22T14:10:00Z,fr,chat,Le processus de paiement est très compliqué et long.,Complicated and lengthy payment process.,negative,"Complicated process, Lengthy process"
37,2025-03-23T09:20:00Z,es,email,No entiendo cómo funciona el sistema de referidos.,Customer is having trouble understanding the referral system.,negative,Confusion with referral system
38,2025-03-24T16:25:00Z,en,survey,The customer support is very helpful and responsive.,Customer support is very helpful and responsive.,positive,"helpful support, responsive"
39,2025-03-25T11:15:00Z,fr,email,J’aimerais avoir plus d’options de tri dans les rapports.,Customer wants more sorting options in reports.,positive,"sorting options, reports"
40,2025-03-26T13:35:00Z,es,chat,El sitio web es muy lento y a veces no carga.,The website is very slow and sometimes does not load.,negative,"Website speed, Loading issues"
